Extractor;Identifier;Title;Venue;Year;Exclude;SR;SD;SC;ST;SM;SCM;SEM;SEP;SEMM;SQ;SEPP;SEE;CF;MF;EF;Theory;Cognitive Concepts;Cognitive Measures;Assessment;Added Value of Cognitive Aspect;Academia;Industry;Solution Proposal (example);Empirical Study;Experience Papers;Philosophical Papers;Opinion Papers;"Outcome
Contribution





";;Attention;Selective attention;Divided attention;Sustained attention;Memory;Working memory;Short-term memory;Long-term memory;Cognitive load;Intrinsic CL;Extrinsic CL;Emotion;Motivation;Intrinsic motivation;Extrinsic motivation;Stress;Reward;Appr. avoid. motiv.;Arousal;Attitude;Perception;Problem solving;Reasoning;Decision making;Errors;Cognitive biases;Knowledge;Explicit knowledge;Tacit knowledge;Techn. tacit knowl.;Cogn. tacit knowl.;Cognitive control;Executive functions;Inhibition;;Qualit. measures;Fieldwork;Interview;Task-based;Open observation;Quantit. measures;Task performance;Physiological meas.;Subjective ratings;Behavioral meas.
Fabian F.;Wanderley2015;Evaluation of BehaviorMap: A user-centered behavior language;Proceedings - International Conference on Research Challenges in Information Science;2015;;1;;;;;;;;;;;;;;;Cognitive load;Cognitive effort;Cognitive effort;"Questionnaire (NASA-TLX)
Time (duration)";Central to the study;?;?;;1;;;;The paper proposes a visual way to represent BDD stories. It shows that the visual representation is easier to understand than the corresponding BDD text, especially when the BDD story is more complex.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Bogdan M.;Weidenbeck1986;Beacons in computer program comprehension;Journal of Man–Machine Studies;1986;;;;;;1;;;;;;;;;;;"Data driven comprehension (Shneiderman & Mayer 1979; Basili & Mills 1982)
Conceptually driven (Brooks 1983)";Program comprehension;Beacons;"Memorization of a program and a one-sentence summary.
Ability to correctly identify function.
Number of beacon and non-beacon lines recalled.";;1;;;1;;;;The paper proposes that some lines (beacon lines) are more important to program comprehension. The beacon lines were identified by experimenter intuition.;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Bogdan M.;Weidenbeck1991;The initial stages of program comprehension;Journal of Man–Machine Studies;1991;;;;;;1;;;;;;;;;;;;"Program comprehension, 
Programming plans";Beacons;"Described program function (\w assessment of own confidence)
Program recall,
";;1;;;1;;;;Paper studies the link between beacons (and various deteriorated beacons) and comprehension.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;1;
Fabian F.;Wein1992;Visual support for version management;Applied Computing: Technological Challenges of the 1990's;1992;;;;;;;1;;;;;;;;;;Cognitive load;;;;Provides a conceptual framework for the study;;;1;;;;;The paper discusses the factors contributing to cognitive burden that developers have when using version control systems and proposes a way to visualise files and version history in a way that the authors argue would help with this burden.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bogdan M.;Welty1981;Human Factors Comparison of a Procedural and a Non-Procedural Query Language;ACM Trans. Database Systems;1981;;;;1;;;;;;;;;;;;;;;Corectness of resulting programs;"9-point scale of correctness, 
final and retention exams";;1;;;1;;;;Students scored higher in exams when using procedural (rather than less procedural) languages.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;
Bogdan M.;Whatton1992;Applying cognitive walkthroughs to more complex user interfaces: Experiences, issues, and recommendations;CHI;1992;1;;;1;;;;;;;;;;;;;"Exploratory learning
Learning by doing";Cognitive Walkthrough;;;;1;;;;1;;;The paper proposes cognitive walkthroughs and identifies challenges to their use. In addition, it issues recommendations on their application.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;White2005;Cognitive differences between procedural programming and object oriented programming;Information Technology and Management;2005;;;;1;;;;;;;;;;;;;;"Hemispheric brain dominance (hemisphericity)
Piaget's theory of cognitive development";"Cognitive hemispheric dominance
Level of cognitive development (Piaget)";"Hemispheric Mode Indicator
Propositional Logic Test";Central to the study;1;;;1;;;;Cognitive development level (measured by Propositional Logic Test, PLT) was significantly correlated with OOP grades, i.e. cognitive development level affects success in learning OOP. Cognitive style (measured by Hemispheric Mode Indicator, HMI) was not significantly correlated with OOP grades, i.e. cognitive style does not affect success in learning OOP. PLT and HMI were not correlated. The study thus indicates that cognitive development level is related to learning OOP while hemispheric dominance is not.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;1;;1;
Fabian F.;Wiedenbeck1993;Characteristics of the mental representations of novice and expert programmers: an empirical study;International Journal of Man.-Machine Studied;1993;;;;;;;;;;;;1;;;;;;Several findings regarding the abstract characteristics of mental representations are discussed;"Abstract characteristics of mental representations of programs
- Hierarchically structured mental representations
- Explicit mappings between layers of the representation
- The use of recurring basic patterns for knowledge representation
- Well-connected representation enhancing understanding of how parts of the program interact
- Representations well-grounded in the program text enhancing the localisation of structures and operations";"Experimental task
- Reading a 135 line Pascal program.
- Answering questions that investigate the five abstract characteristics.
- The questions ask the participant to, e.g. match procedure names to the procedures they call, listing procedure names, writing descriptions of goals (of procedures and entire program), labelling code segments, listing names used for the same data objects in different program units, listing important variable names, filling in names of program units in a program outline, matching variable names to procedures where they occur, and indicating physical location of invariant program parts.
- Evaluation of questions/task results by two independent judges.";Central to the study;1;1;;1;;;;The paper investigates five characteristics of mental representations of programs in novice and expert programmers. In the study, participants read a short program and then have to perform tasks that each tries to elicit whether their mental representation has a certain characteristic. For example, two questions try to determine whether the participants have a hierarchical, layered structure (the stimulus program had a clear hierarchical, layered structure in the form of nested procedures and functions). The performance on each question was evaluated by two independent judges. The results indicate that the five abstract characteristics exist in the mental representations of expert programmers but novice programmers do not show them to the same degree. Several detailed findings and discussion is given in the paper.;1;;;;;;;;;;;;;;;;;;;;;;1?;;;;;;;;;;;;;;;;;;;;1;;;
Michael F.;Wirfs-Brock2007;Giving design advice;IEEE Software;2007;;;1;;;;;;;;;;;;;;;Cognitive biases;;;role of cognitive biases in communicating design advices;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Fabian F.;Wong2006;On evaluating the layout of UML diagrams for program comprehension;Softw. Qual. J.;2006;;;;;;;;;;;;1;;;;;"Theories of perception
Theories of perceptual organisation
Theories of perceptual segregation";"(Visual) perception
- Cognitive functions as filters on raw visual stimuli (Marr, 1982)
- Attention shifting based on structure of environment (Gibson, 1979)
- Gestalt theory (Benjafield, 1992; Moore & Fitz, 1993)
- Theory of notation (Petre, Blackwell & Green, 1998)
Perceptual organisation (Boff, Kaufman & Thomas, 1896)
- Law of good figure (Prägnanz, Schiffman, 2001)
- Law of similarity
- Law of continuation
- Law of proximity
- Law of connectedness
- Law of familiarity
Perceptual segregation (Goldstein, 2002)
- Law of symmetry
- Law of orientation
- Law of contour (Kimchi, Berhmann & Olson, 2003)";Several criteria for assessing the different aspects of visual perception, perceptual organisation, and perceptual segregation in UML diagrams;Judgement based on the criteria;Central to the study;;;;;;1;;This paper discusses visual perception and how it impacts UML diagrams. It systematically develops a set of guidelines for creating good UML diagrams. It then evaluates two tools using the guidelines, illustrating how the goodness (from the perspective of visual perception) of UML diagrams created using the tools can be assessed. The study shows that the tools are good but points to improvement areas where they could be even better.;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;
Michael F.;Xiao2013;'Computing' requirements in open source software projects;International Conference on Information Systems (ICIS 2013): Reshaping Society Through Information Systems Design;2013;;1;;;;;;;;;;;;;;;Taxonomy of Cognitive Functions;Cognitive Workload;Cognitive Functions including Computation, Problem Sovling, Perception, Communication, Decision Making, Memory;;Measurement of distribution of cognitive workload to define suitable countermeasures;;1;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;
Michael F.;Xie2011;Idea: Interactive support for secure software development;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2011;;;;1;;;;;;;;;;;;;Cognitive Load;"skill-based breakdown,
rule-based breakdown,
knowledge-based breakdown";;Program Errors;Linking program errors and cognitive aspects;;;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Robert;Xu2010;Programming expertise during incremental software development: An empirical study;Studies in Computational Intelligence;2010;;;1;1;1;;;;;;;;;;;;;Expertise, Cognitive activity complexity;Bloom's taxonomy of cognitive levels;Classify activities of programmers using Bloom's taxonomy;Central to paper.;1;;;1;;;;Clear cognitive differences in how expert and novice programmers design, program, and test.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;
Michael U.;Yang1996;Design benchmarks for VPL static representations;IEEE Symposium on Visual Languages, Proceedings;1996;1;;;1;;;;;;;;;;;;;;Cognitive dimensions (whereby it is not clear what these dimensions are, the paper is short);Several proxy measures on the presentation of visual programming languages;None;Central to the paper;1;1;;;;1;;Very short paper, small empirical study with students/professionals.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Yusuf2007;Assessing the Comprehension of UML Class Diagrams via Eye Tracking;IEEE International Conference on Program Comprehension, ICPC;2007;;;1;;;;;;;1;;;;;;;;Class diagram comprehension;fixations;"eye tracking
audio recording";comprehension of UML class diagrams;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;1;;
Michael U.;Zayour2001;Adoption of reverse engineering tools: A cognitive perspective and methodology;Proceedings - IEEE Workshop on Program Comprehension;2001;;;;;;1;;;;;;;;;;;;Cognitive load, working memory capacity;None;None;Central to the paper;;1;1;;;;;Analysis of an SE task (corrective maintenance), identifying cognitive taxing activities, and the design of a software solution to provide support in these activities.;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Zayour2013;Complexity is in the brain of the beholder: A psychological perspective on software engineering's ultimate challenge;Journal of Software;2013;;;;1;;1;;;;;;1;;;;;Cognitive load;Working memory;Identification of cognitive overload;Observation;Central to the study;;1;;1;;;;The paper describes a tool for reducing cognitive load during program comprehension. It also provides theory regarding how working memory and cognitive load might be used to understand complexity in software development.;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Robert;Zhan2012;Impact of software complexity on development productivity;International Journal of Software Engineering and Knowledge Engineering;2012;1;;;;;;;1;1;;;;;;;;Cognitive learning theory, Yerkes-Dodson law, theory of activation;;Measures are non-cognitive: productivity (Loc/hour) and complexity (5-point likert scale);;Important to motivation and basis for the study but not essential. The same study could have been done without the cognitive connection imho since measures are not cognitive per se.;;1;;1;;;;Support for productivity/complexity curve being inverted U-shaped and thus there are complexity bounds between which one needs to stay to have high productivity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Zhou2010;Developer fluency: Achieving true mastery in software projects;Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering;2010;;;;;;;;1;;;;;;;;;;"Not sure if developer fluency is a cognitive concept. It is defined as:  the ability to complete project tasks
rapidly and accurately independent of task difficulty or importance.  ";Developers' learning curves;"Quantitative measures on task performance extracted from source control, bug reporting and human resources systems

Qualitative estimates of task difficulty and centrality (importance)";Marginally touched upon, but not the focus at all.;;1;;1;;;;"Separating dimensions of developer expertise, finding ways to measure
them, and quantifying the learning curves that describe how each type of expertise is acquired. ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;
Michael F.;Zhuge1997;Abstraction and analogy in cognitive space: A software process model;Information and Software Technology;1997;;;;;;;;;1;;;;;;;;Cognitive Space Model;"Cognitive Space
Knowledge content
Cognitive growth";;;integration of cognitive and development process to enhance developers' cognitive skills;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;
Michael F.;Zhuge2003;Workflow- and agent-based cognitive flow management for distributed team Cooperation;Information & Management;2003;;;;;;;;1;;;;1;;;;;Cognitive Flow Model;"Cognitive flow
Cognitive node";;;"improvmement of distributed team cooperation, duration of task,
match degree of team";;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
Michael U.;Zugal2012;Assessing the impact of hierarchy on model understandability - A cognitive perspective;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2012;;;1;;;;;;;;;;;;;;Cognitive Load Theory;"Cognitive problem solving processes: search, recognition and inference

Working memory and mental effort";Model understandability, estimated by time to answer and accuracy;Questions about model;Central to the paper;;;;;;1;;The opposing forces of abstraction and split-attention effect: the more abstract a model, the more context switching is necessary. Hence, abstractions (high/low) are a trade-off.;1;;;1;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
;;;;;235 (217/18);;;;;;;;;;;;;;;;;;;;;;;;;;;;;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
